dateofshipment,weightofshipment,shipmentinsurrancecost,basevalue,boxtxt,width,length,depth,costtomake,durability,beginstorenumber,beginstoretxt,beginNightLoading,beginAutomation,begininsurracecost,endstorenumber,endstoretxt,endNightLoading,endAutomation,endinsurracecost
09/14/21,16.501,3.0502,154,QH401919,40,19,19,2.39,26,173,OK712173,Yes,No,1.8605,222,OK712222,Yes,No,3.0502
10/07/21,18.327,3.0502,194,DG282516,28,25,16,2.79,30,189,OK712189,No,No,2.68,222,OK712222,Yes,No,3.0502
02/17/21,13.761,3.0502,156,BQ261014,26,10,14,2.64,30,116,NM418116,Yes,Yes,1.9501,222,OK712222,Yes,No,3.0502
07/10/21,39.492,3.0502,91,GJ331220,33,12,20,3.09,27,148,OK712148,Yes,No,2.36,222,OK712222,Yes,No,3.0502
03/01/21,27.35,3.0502,138,MA101120,10,11,20,2.15,22,147,NM418147,Yes,Yes,1.4944,222,OK712222,Yes,No,3.0502
07/24/21,7.07,3.0502,143,NC103116,10,31,16,2.31,30,146,NM418146,Yes,No,1.74,222,OK712222,Yes,No,3.0502
03/07/21,39.069,3.0502,118,KH102813,t,28,13,1.21,24,153,NM418153,No,No,1.8533,222,OK712222,Yes,No,3.0502
05/08/21,27.929,3.0502,192,BQ261014,26,10,14,2.64,30,112,OK712112,Yes,Yes,2.1187,222,OK712222,Yes,No,3.0502
10/17/21,20.566,3.0502,135,KQ264020,26,40,20,2.92,23,184,TX253184,No,Yes,2.0025,222,OK712222,Yes,No,3.0502
06/17/21,21.586,3.0502,194,GD341420,34,14,20,2.82,26,104,OK712104,Yes,Yes,1.7396,222,OK712222,Yes,No,3.0502
04/09/21,20.035,3.0502,173,GJ331220,33,12,20,3.09,27,168,OK712168,No,Yes,2.5057,222,OK712222,Yes,No,3.0502
03/08/21,14.697,3.8227,133,QH401919,40,19,19,2.39,26,173,OK712173,Yes,No,1.8605,287,TX253287,Yes,Yes,3.8227
09/08/21,41.845,3.8227,136,DX301310,30,13,10,3.91,21,122,TX253122,No,No,1.5313,287,TX253287,Yes,Yes,3.8227
05/02/21,41.296,3.8227,183,KH102813,10,28,13,1.21,24,161,NM418161,No,No,2.527,287,TX253287,Yes,Yes,3.8227
06/20/21,35.074,3.8227,103,KH102813,10,28,13,1.21,24,149,NM418149,Yes,Yes,1.8933,287,TX253287,Yes,Yes,3.8227
02/14/21,13.942,3.8227,181,DX301310,30,13,10,3.91,21,134,NM418134,Yes,Yes,1.3619,287,TX253287,Yes,Yes,3.8227
12/22/21,8.94,3.8227,102,BQ261014,26,10,14,2.64,30,144,TX253144,Yes,Yes,2.4187,287,TX253287,Yes,Yes,3.8227
01/08/21,19.297,3.8227,122,EC423810,42,38,10,3.69,21,200,TX253200,No,Yes,2.9858,287,TX253287,Yes,Yes,3.8227
08/08/21,8.92,3.8227,172,DX301310,30,13,10,3.91,21,191,TX253191,Yes,Yes,2.3817,287,TX253287,Yes,Yes,3.8227
01/04/21,17.503,3.8227,128,DA251912,25,19,12,2.36,24,139,TX253139,Yes,No,1.4508,287,TX253287,Yes,Yes,3.8227
02/06/21,13.873,3.8227,93,EC423810,42,38,10,3.69,21,119,NM418119,Yes,Yes,2.1247,287,TX253287,Yes,Yes,3.8227
07/16/21,41.796,3.8227,141,DM481414,48,14,14,2.56,23,115,TX253115,No,No,1.162,287,TX253287,Yes,Yes,3.8227
04/17/21,9.174,3.8227,192,DX301310,30,13,10,3.91,21,184,TX253184,No,Yes,2.0025,287,TX253287,Yes,Yes,3.8227
09/21/21,22.578,3.8227,115,EC423810,42,38,10,3.69,21,171,OK712171,Yes,No,2.4622,287,TX253287,Yes,Yes,3.8227
05/11/21,31.799,3.8227,171,DA251912,25,19,12,2.36,24,158,NM418158,No,Yes,1.8597,287,TX253287,Yes,Yes,3.8227
09/12/21,35.933,2.8143,191,GJ331220,33,12,20,3.09,27,173,OK712173,Yes,No,1.8605,221,NM418221,Yes,Yes,2.8143
10/12/21,13.977,2.8143,143,MA101120,10,11,20,2.15,22,150,NM418150,Yes,Yes,2.4296,221,NM418221,Yes,Yes,2.8143
03/24/21,18.146,2.8143,193,BQ261014,26,10,14,2.64,30,122,TX253122,No,No,1.5313,221,NM418221,Yes,Yes,2.8143
06/10/21,47.211,2.8143,113,BQ261014,26,10,14,2.64,30,188,OK712188,Yes,Yes,2.0033,221,NM418221,Yes,Yes,2.8143
02/03/21,23.394,2.8143,93,GD341420,34,14,20,2.82,26,149,NM418149,Yes,Yes,1.8933,221,NM418221,Yes,Yes,2.8143
01/31/21,48.851,2.8143,147,DA251912,25,19,12,2.36,24,124,TX253124,Yes,Yes,1.7142,221,NM418221,Yes,Yes,2.8143
01/18/21,47.72,2.8143,94,GJ331220,33,12,20,3.09,27,114,OK712114,Yes,No,1.9911,221,NM418221,Yes,Yes,2.8143
08/02/21,32.198,2.8143,97,GD341420,34,14,20,2.82,26,136,OK712136,No,No,1.3875,221,NM418221,Yes,Yes,2.8143
06/07/21,19.571,2.8143,192,DM481414,48,14,14,2.56,23,143,TX253143,No,Yes,1.9005,221,NM418221,Yes,Yes,2.8143
07/08/21,49.941,2.8143,170,BQ261014,26,10,14,2.64,30,143,TX253143,No,Yes,1.9005,221,NM418221,Yes,Yes,2.8143
08/13/21,39.458,2.8143,148,DX301310,30,13,10,3.91,21,140,NM418140,Yes,No,1.4479,221,NM418221,Yes,Yes,2.8143
11/23/21,44.641,2.7602,135,GD341420,34,14,20,2.82,26,173,OK712173,Yes,No,1.8605,254,OK712254,Yes,Yes,2.7602
11/11/21,42.663,2.7602,138,QH401919,40,19,19,2.39,26,189,OK712189,No,No,2.68,254,OK712254,Yes,Yes,2.7602
07/18/21,16.215,2.7602,161,DX301310,30,13,10,a,21,154,TX253154,No,huh,1.6255,254,OK712254,Yes,Yes,2.7602
04/20/21,6.532,2.7602,126,QH401919,40,19,19,2.39,26,116,NM418116,Yes,Yes,1.9501,254,OK712254,Yes,Yes,2.7602
06/16/21,26.329,2.7602,159,DG282516,28,25,16,2.79,a,116,NM418116,Yes,Yes,1.9501,254,OK712254,Yes,Yes,2.7602
09/02/21,11.294,2.7602,143,QH401919,40,19,19,2.39,26,148,OK712148,Yes,No,2.36,254,OK712254,Yes,Yes,2.7602
03/10/21,41.243,2.7602,115,MA101120,10,11,20,2.15,22,125,TX253125,No,No,1.3809,254,OK712254,Yes,Yes,2.7602
07/05/21,15.193,2.7602,140,GD341420,34,14,20,2.82,26,181,OK712181,Yes,No,2.5645,254,OK712254,Yes,Yes,2.7602
12/08/21,9.403,2.7602,114,DG282516,28,25,16,2.79,30,113,TX253113,Yes,No,2.0506,254,OK712254,Yes,Yes,2.7602
06/12/21,24.038,2.7602,164,DM481414,48,14,14,2.56,23,178,NM418178,Yes,Yes,2.3579,254,OK712254,Yes,Yes,2.7602
05/24/21,29.466,2.7602,105,DA251912,25,19,12,2.36,24,128,TX253128,No,Yes,2.183,254,OK712254,Yes,Yes,2.7602
12/14/21,12.252,2.7602,161,DM481414,48,14,14,2.56,23,180,NM418180,Yes,Yes,2.5014,254,OK712254,Yes,Yes,2.7602
06/24/21,6.909,3.0089,138,KH102813,10,a,13,1.21,24,173,OK712173,Yes,No,1.8605,269,OK712269,No,No,3.0089
02/22/21,39.492,3.0089,148,DG282516,28,25,16,2.79,30,169,NM418169,Yes,No,1.9873,269,OK712269,No,No,3.0089
03/11/21,21.517,3.0089,127,QH401919,40,19,19,2.39,26,170,NM418170,No,Yes,1.7663,269,OK712269,No,No,3.0089
11/19/21,22.604,3.0089,123,GD341420,34,14,20,2.82,26,193,TX253193,No,Yes,2.0263,269,OK712269,No,No,3.0089
05/12/21,19.831,3.0089,181,KH102813,10,28,13,1.21,24,200,TX253200,No,Yes,2.9858,269,OK712269,No,No,3.0089
11/13/21,14.935,3.0089,111,DG282516,28,25,16,2.79,30,159,OK712159,Yes,No,2.3619,269,OK712269,No,No,3.0089
04/01/21,49.649,3.0089,130,DG282516,28,25,16,2.79,30,181,OK712181,Yes,No,2.5645,269,OK712269,No,No,3.0089
11/05/21,9.216,3.0089,127,DX301310,30,13,10,3.91,21,186,NM418186,Yes,No,2.2679,269,OK712269,No,No,3.0089
11/08/21,28.981,3.0089,193,GD341420,34,14,20,2.82,26,158,NM418158,No,Yes,1.8597,269,OK712269,No,No,3.0089
02/28/21,32.405,3.0089,176,KQ264020,26,40,20,2.92,23,158,NM418158,No,Yes,1.8597,269,OK712269,No,No,3.0089
03/22/21,43.805,2.8079,148,QH401919,40,19,19,2.39,26,179,NM418179,Yes,No,2.7761,219,NM418219,Yes,No,2.8079
10/06/21,14.739,2.8079,174,MA101120,10,11,20,2.15,22,188,OK712188,Yes,Yes,2.0033,219,NM418219,Yes,No,2.8079
08/22/21,45.07,2.8079,100,GJ331220,33,12,z,3.09,27,149,NM418149,huh,Yes,1.8933,219,NM418219,Yes,No,2.8079
04/19/21,45.714,2.8079,96,QH401919,40,19,19,2.39,26,172,TX253172,No,Yes,2.4496,219,NM418219,Yes,No,2.8079
07/19/21,34.364,2.8079,156,FD311219,31,12,19,2.64,23,116,NM418116,Yes,Yes,1.9501,219,NM418219,Yes,No,2.8079
04/01/21,36.852,2.9858,158,MA101120,10,11,20,2.15,,200,TX253200,No,Yes,2.9858,219,NM418219,Yes,No,2.8079
04/08/21,9.626,2.8079,110,MA101120,10,11,20,2.15,22,129,TX253129,No,Yes,1.8218,219,NM418219,Yes,No,2.8079
03/20/21,8.3,2.8079,136,QH401919,40,19,19,2.39,26,114,OK712114,Yes,No,1.9911,219,NM418219,Yes,No,2.8079
05/05/21,25.77,2.8079,106,DG282516,28,25,16,2.79,30,101,TX253101,Yes,No,1.1412,219,NM418219,Yes,No,2.8079
10/14/21,36.573,2.8079,180,DA251912,25,19,12,2.36,24,195,TX253195,Yes,Yes,2.6522,219,NM418219,Yes,No,2.8079
10/14/21,43.682,2.8079,153,GJ331220,33,12,20,3.09,27,194,OK712194,No,Yes,2.4107,219,NM418219,Yes,No,2.8079
10/04/21,42.456,2.8079,149,DA251912,25,19,12,2.36,24,194,OK712194,No,Yes,2.4107,219,NM418219,Yes,No,2.8079
08/17/21,6.035,2.8079,135,MA101120,10,11,20,2.15,22,137,OK712137,Yes,Yes,2.0729,219,NM418219,Yes,No,2.8079
10/01/21,8.095,2.8079,140,DM481414,48,14,14,2.56,23,137,OK712137,Yes,Yes,2.0729,219,NM418219,Yes,No,2.8079
12/10/21,11.821,2.8079,172,DM481414,48,14,14,2.56,23,186,NM418186,Yes,No,2.2679,219,NM418219,Yes,No,2.8079
01/15/21,41.944,2.8079,106,DX301310,30,13,10,3.91,21,167,NM418167,Yes,Yes,2.5544,219,NM418219,Yes,No,2.8079
09/22/21,50.005,2.8079,182,NC103116,10,31,16,2.31,30,176,NM418176,No,No,2.1468,219,NM418219,Yes,No,2.8079
04/08/21,46.819,2.8079,152,DX301310,30,13,10,3.91,21,138,TX253138,Yes,No,2.1131,219,NM418219,Yes,No,2.8079
04/22/21,29.052,2.7761,188,DG282516,28,25,16,2.79,30,179,NM418179,Yes,No,2.7761,202,OK712202,Yes,No,2.3925
09/21/21,46.956,2.3925,133,GD341420,34,14,20,2.82,26,127,NM418127,No,No,1.5802,202,OK712202,Yes,No,2.3925
04/11/21,17.762,2.3925,173,FD311219,31,12,19,2.64,23,120,TX253120,No,No,2.0283,202,OK712202,Yes,No,2.3925
06/22/21,8.887,2.3925,112,GJ331220,33,12,20,3.09,27,177,NM418177,No,No,2.3039,202,OK712202,Yes,No,2.3925
05/06/21,49.786,2.3925,135,GD341420,34,14,20,2.82,26,191,TX253191,Yes,Yes,2.3817,202,OK712202,Yes,No,2.3925
05/19/21,21.611,2.6522,179,KH102813,10,28,13,1.21,24,195,TX253195,Yes,Yes,2.6522,202,OK712202,Yes,No,2.3925
08/23/21,29.526,2.3925,103,KQ264020,26,40,20,2.92,23,192,TX253192,No,No,2.1589,202,OK712202,Yes,No,2.3925
