,dateofshipment,weightofshipment,shipmentinsurrancecost,basevalue,boxtxt,width,length,depth,costtomake,durability,beginstorenumber,beginstoretxt,beginNightLoading,beginAutomation,begininsurracecost,endstorenumber,endstoretxt,endNightLoading,endAutomation,endinsurracecost
0,09/14/21,16.501,3.0502,154,QH401919,40,19,19,2.39,26,173,OK712173,Yes,No,1.8605,222,OK712222,Yes,No,3.0502
1,10/07/21,18.327,3.0502,194,DG282516,28,25,16,2.79,30,189,OK712189,No,No,2.68,222,OK712222,Yes,No,3.0502
2,02/17/21,13.761,3.0502,156,BQ261014,26,10,14,2.64,30,116,NM418116,Yes,Yes,1.9501,222,OK712222,Yes,No,3.0502
3,07/10/21,39.492,3.0502,91,GJ331220,33,12,20,3.09,27,148,OK712148,Yes,No,2.36,222,OK712222,Yes,No,3.0502
4,03/01/21,27.35,3.0502,138,MA101120,10,11,20,2.15,22,147,NM418147,Yes,Yes,1.4944,222,OK712222,Yes,No,3.0502
5,07/24/21,7.07,3.0502,143,NC103116,10,31,16,2.31,30,146,NM418146,Yes,No,1.74,222,OK712222,Yes,No,3.0502
6,03/07/21,39.069,3.0502,118,KH102813,t,28,13,1.21,24,153,NM418153,No,No,1.8533,222,OK712222,Yes,No,3.0502
7,05/08/21,27.929,3.0502,192,BQ261014,26,10,14,2.64,30,112,OK712112,Yes,Yes,2.1187,222,OK712222,Yes,No,3.0502
8,10/17/21,20.566,3.0502,135,KQ264020,26,40,20,2.92,23,184,TX253184,No,Yes,2.0025,222,OK712222,Yes,No,3.0502
9,06/17/21,21.586,3.0502,194,GD341420,34,14,20,2.82,26,104,OK712104,Yes,Yes,1.7396,222,OK712222,Yes,No,3.0502
10,04/09/21,20.035,3.0502,173,GJ331220,33,12,20,3.09,27,168,OK712168,No,Yes,2.5057,222,OK712222,Yes,No,3.0502
11,03/08/21,14.697,3.8227,133,QH401919,40,19,19,2.39,26,173,OK712173,Yes,No,1.8605,287,TX253287,Yes,Yes,3.8227
12,09/08/21,41.845,3.8227,136,DX301310,30,13,10,3.91,21,122,TX253122,No,No,1.5313,287,TX253287,Yes,Yes,3.8227
13,05/02/21,41.296,3.8227,183,KH102813,10,28,13,1.21,24,161,NM418161,No,No,2.527,287,TX253287,Yes,Yes,3.8227
14,06/20/21,35.074,3.8227,103,KH102813,10,28,13,1.21,24,149,NM418149,Yes,Yes,1.8933,287,TX253287,Yes,Yes,3.8227
15,02/14/21,13.942,3.8227,181,DX301310,30,13,10,3.91,21,134,NM418134,Yes,Yes,1.3619,287,TX253287,Yes,Yes,3.8227
16,12/22/21,8.94,3.8227,102,BQ261014,26,10,14,2.64,30,144,TX253144,Yes,Yes,2.4187,287,TX253287,Yes,Yes,3.8227
17,01/08/21,19.297,3.8227,122,EC423810,42,38,10,3.69,21,200,TX253200,No,Yes,2.9858,287,TX253287,Yes,Yes,3.8227
18,08/08/21,8.92,3.8227,172,DX301310,30,13,10,3.91,21,191,TX253191,Yes,Yes,2.3817,287,TX253287,Yes,Yes,3.8227
19,01/04/21,17.503,3.8227,128,DA251912,25,19,12,2.36,24,139,TX253139,Yes,No,1.4508,287,TX253287,Yes,Yes,3.8227
20,02/06/21,13.873,3.8227,93,EC423810,42,38,10,3.69,21,119,NM418119,Yes,Yes,2.1247,287,TX253287,Yes,Yes,3.8227
21,07/16/21,41.796,3.8227,141,DM481414,48,14,14,2.56,23,115,TX253115,No,No,1.162,287,TX253287,Yes,Yes,3.8227
22,04/17/21,9.174,3.8227,192,DX301310,30,13,10,3.91,21,184,TX253184,No,Yes,2.0025,287,TX253287,Yes,Yes,3.8227
23,09/21/21,22.578,3.8227,115,EC423810,42,38,10,3.69,21,171,OK712171,Yes,No,2.4622,287,TX253287,Yes,Yes,3.8227
24,05/11/21,31.799,3.8227,171,DA251912,25,19,12,2.36,24,158,NM418158,No,Yes,1.8597,287,TX253287,Yes,Yes,3.8227
25,09/12/21,35.933,2.8143,191,GJ331220,33,12,20,3.09,27,173,OK712173,Yes,No,1.8605,221,NM418221,Yes,Yes,2.8143
26,10/12/21,13.977,2.8143,143,MA101120,10,11,20,2.15,22,150,NM418150,Yes,Yes,2.4296,221,NM418221,Yes,Yes,2.8143
27,03/24/21,18.146,2.8143,193,BQ261014,26,10,14,2.64,30,122,TX253122,No,No,1.5313,221,NM418221,Yes,Yes,2.8143
28,06/10/21,47.211,2.8143,113,BQ261014,26,10,14,2.64,30,188,OK712188,Yes,Yes,2.0033,221,NM418221,Yes,Yes,2.8143
29,02/03/21,23.394,2.8143,93,GD341420,34,14,20,2.82,26,149,NM418149,Yes,Yes,1.8933,221,NM418221,Yes,Yes,2.8143
30,01/31/21,48.851,2.8143,147,DA251912,25,19,12,2.36,24,124,TX253124,Yes,Yes,1.7142,221,NM418221,Yes,Yes,2.8143
31,01/18/21,47.72,2.8143,94,GJ331220,33,12,20,3.09,27,114,OK712114,Yes,No,1.9911,221,NM418221,Yes,Yes,2.8143
32,08/02/21,32.198,2.8143,97,GD341420,34,14,20,2.82,26,136,OK712136,No,No,1.3875,221,NM418221,Yes,Yes,2.8143
33,06/07/21,19.571,2.8143,192,DM481414,48,14,14,2.56,23,143,TX253143,No,Yes,1.9005,221,NM418221,Yes,Yes,2.8143
34,07/08/21,49.941,2.8143,170,BQ261014,26,10,14,2.64,30,143,TX253143,No,Yes,1.9005,221,NM418221,Yes,Yes,2.8143
35,08/13/21,39.458,2.8143,148,DX301310,30,13,10,3.91,21,140,NM418140,Yes,No,1.4479,221,NM418221,Yes,Yes,2.8143
36,11/23/21,44.641,2.7602,135,GD341420,34,14,20,2.82,26,173,OK712173,Yes,No,1.8605,254,OK712254,Yes,Yes,2.7602
37,11/11/21,42.663,2.7602,138,QH401919,40,19,19,2.39,26,189,OK712189,No,No,2.68,254,OK712254,Yes,Yes,2.7602
38,07/18/21,16.215,2.7602,161,DX301310,30,13,10,a,21,154,TX253154,No,huh,1.6255,254,OK712254,Yes,Yes,2.7602
